"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasa-m4b9ycrgbsmia8_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-veloce-v7-500w-25kmh-i.101726601.20384856022","Sepeda Listrik Exotic Veloce V7 500W 25Km/h","SENTRA BIKE","Rp 3.599.000","Rp 3.599.000.000","1.000","Rp 345.504.000","96","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224x-mjhxugvmgmis29_tn.webp","https://shopee.co.id/sepeda-listrik-pmb-nuv-floppy-s3-nuv-nyra-s2-terbaru-i.101726601.23056590878","SEPEDA LISTRIK PMB NUV FLOPPY S3 / NUV NYRA S2 TERBARU","SENTRA BIKE","Rp 3.449.000","Rp 3.449.000.000","1.000","Rp 513.901.000","149","4.89"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zte-mf7vowxv64nced_tn.webp","https://shopee.co.id/sepeda-listrik-dewasa-48v-12ah-30-45kmh-i.1025550444.20091767828","Sepeda Listrik Dewasa 48V 12Ah 30-45KM/H","Dreamland Mart","Rp 2.799.000","Rp 5.598.000.000","2.000","Rp 106.362.000","38","4.72"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztc-mdzmk8zwwa9z49_tn.webp","https://shopee.co.id/promo-sepeda-listrik-goda-lemonneotroyhero-anti-air-kuat-di-tanjakan-i.793893007.16582704746","Promo Sepeda Listrik Goda Lemon/Neo/Troy/Hero Anti Air Kuat Di Tanjakan","Ebike Jabar","Rp 3.099.000","Rp 1.224.105.000","395","Rp 55.782.000","18","4.92"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98y-lxqfzui61iukbc_tn.webp","https://shopee.co.id/az-sepeda-listrik-dewasa-200kg-45kmh-1-tahun-garansi-i.1055620791.18493052500","AZ Sepeda Listrik Dewasa 200kg 45km/h 1 Tahun Garansi","Adventure Zone","Rp 2.899.000","Rp 1.345.136.000","464","Rp 118.859.000","41","4.70"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztq-mel3b07bkwe9ef_tn.webp","https://shopee.co.id/sepeda-listrik-500w-48v-tahan-curam-30-i.797583684.44068799286","Sepeda Listrik 500W 48V Tahan Curam 30°","Ebuy Outdoor Gear","Rp 3.028.410","Rp 590.539.950","195","Rp 130.221.630","43","4.61"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk3-m8fpgl31xwzce9_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-liberty-dan-liberty-star-motor-350watt-dewasa-anak-murah-terbaru-i.31620766.14597229518","VOXA sepeda listrik LIBERTY DAN LIBERTY STAR motor 350WATT Dewasa anak murah terbaru","VOXA Official Shop","Rp 3.000.000","Rp 936.000.000","312","Rp 66.000.000","22","4.78"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r991-lxqfzui5yppofb_tn.webp","https://shopee.co.id/sepeda-listrik-dewasa-48v-24ah-50kmh-60km-i.1055620791.25150033199","Sepeda Listrik Dewasa 48V 24ah 50KM/H 60KM","Adventure Zone","Rp 2.899.000","Rp 510.224.000","176","Rp 55.081.000","19","4.79"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81zti-mfi4hmsn8fm621_tn.webp","https://shopee.co.id/me-sepeda-listrik-dewasa-200kg-30-45kmh-pedal-i.1023959171.42172982433","ME Sepeda Listrik Dewasa 200kg 30-45KM/H Pedal","Meow Wow","Rp 2.799.000","Rp 139.950.000","50","Rp 11.196.000","4","4.94"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224q-mj9gyl4ch0ci9b_tn.webp","https://shopee.co.id/sepeda-listrik-pacific-zeckrom-300-500w-40kmh-i.101726601.22080369378","Sepeda Listrik Pacific Zeckrom 300 500W 40Km/h","SENTRA BIKE","Rp 3.549.000","Rp 748.839.000","211","Rp 35.490.000","10","4.94"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224y-mj11xplgdmo5b6_tn.webp","https://shopee.co.id/sepeda-listrik-uwinfly-d66b-600w-termurah-2025-i.1090030042.24744409881","Sepeda Listrik Uwinfly D66B 600W Termurah 2025","BINTANG KOMUNIKA OFFICIAL","Rp 4.849.000","Rp 140.621.000","29","Rp 24.245.000","5","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224w-mhx66vbeovlxbc_tn.webp","https://shopee.co.id/sepeda-listrik-modern-type-n1-power-1000-watt-i.61934240.44077050405","SEPEDA LISTRIK MODERN TYPE N1 - POWER 1000 WATT","EOS E-BIKE","Rp 2.648.900","Rp 5.297.800","2","Rp 2.648.900","1","1.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98r-lu1tqx6fh3m37f_tn.webp","https://shopee.co.id/ehome-sepeda-listrik-dewasa-48v-45km-200kg-i.1023510819.22750961176","E.HOME Sepeda Listrik Dewasa 48V 45KM 200KG","Elegan Home","Rp 2.899.000","Rp 1.666.925.000","575","Rp 14.495.000","5","4.63"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztc-mevc2k2omarl68_tn.webp","https://shopee.co.id/sepeda-listrik-tahan-air-850w-45-km-nyra-i.61934240.40215668047","Sepeda Listrik Tahan Air 850W 45+ Km Nyra","EOS E-BIKE","Rp 975.000","Rp 46.800.000","48","Rp 5.850.000","6","4.83"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-82251-mgxfdz075udnc7_tn.webp","https://shopee.co.id/sepeda-listrik-exotic-factor-fc-817-electric-bike-i.61934240.56951164005","Sepeda Listrik Exotic Factor FC-817 - Electric Bike","EOS E-BIKE","Rp 975.000","Rp 18.525.000","19","Rp 975.000","1","4.56"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk7-m8fsa1y8kjzs06_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-elite-fantasy-s-terbaru-motor-650-watt-150kg-dewasa-anak-baterai-48v20ah-i.31620766.29029248728","VOXA Sepeda Listrik Elite Fantasy S Terbaru motor 650 watt 150KG Dewasa anak baterai 48v/20ah","VOXA Official Shop","Rp 5.750.000","Rp 17.250.000","3","Rp 5.750.000","1","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztd-mevc2k2odvcx49_tn.webp","https://shopee.co.id/sepeda-listrik-tahan-air-850w-free-helm-i.61934240.42865676339","Sepeda Listrik Tahan Air 850W Free Helm","EOS E-BIKE","Rp 975.000","Rp 36.075.000","37","Rp 1.950.000","2","4.54"
