Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98p-lwaya0qx75zy54_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-d66a-d66b-m70-lemon-neo-i.298745221.29500081311,Sepeda Listrik Uwinfly D66A / D66B / M70 / LEMON / NEO,Manisrejo E-Bike,Rp 3.000.000,Rp 30.000.000.000,10.0,Rp 2.883.000.000,961.0,4.86
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224r-mgt5j7ke4j63da_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-d66a-d60-d65-d70-d75-d7d-d8d-m60-m70-m70l-m75-t60-t70-t80-t3s-pro-t5-goda-140-dl-goda-118-goda-120-goda-155-goda-001-goda-002-goda-123-goda-005-goda-006--i.45673341.27654159206,Sepeda Listrik Uwinfly D66A /  D60 / D65 / D70 / D75  / D7D / D8D / M60 / M70 / M70L / M75 / T60 / T70 / T80 / T3S PRO / T5 / GODA 140 DL/ GODA 118 / GODA 120 / GODA 155 / GODA 001 / GODA 002 / GODA 123 / GODA 005 / GODA 006 /,Kelapamanis E-Bike,Rp 3.000.000,Rp 12.000.000.000,4.0,Rp 900.000.000,300.0,4.86
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224v-mgrz92ib7bbh18_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-650w-40kmjam-bergaransi-i.31316488.20270682001,Sepeda Listrik Uwinfly 650W 40km/jam Bergaransi,Fariz mobil,Rp 3.115.000,Rp 6.230.000.000,2.0,Rp 59.185.000,19.0,4.86
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224x-mivbc82tmhonaf_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-d7d-d8d-450w-48v-10yr-warranty-i.955646558.18195745203,Sepeda Listrik Uwinfly D7D D8D 450W 48V 10Yr Warranty,GS SEPEDA,Rp 3.499.999,Rp 2.999.499.143,857.0,Rp 3.499.999,1.0,4.8
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbke-m67sy2ftvnqg54_tn.webp,https://shopee.co.id/sepeda-listrik-exotic-varilux-pro-650w-nfc-60km-i.286263859.23756568262,Sepeda Listrik Exotic Varilux Pro 650W NFC 60Km,1bike,Rp 3.985.000,Rp 3.985.000.000,1.0,Rp 79.700.000,20.0,4.83
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224r-mje1yjwtaolee8_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-d66a-d66b-i.298745221.25287151364,Sepeda Listrik Uwinfly D66A / D66B,Manisrejo E-Bike,Rp 3.515.000,Rp 7.030.000.000,2.0,Rp 688.940.000,196.0,4.85
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224u-mipp602x92x336_tn.webp,https://shopee.co.id/sepeda-listrik-uwinfly-d66b-d66a-m70-i.1025180249.27311185592,Sepeda Listrik Uwinfly D66B / D66A / M70,Pramudya E-Bike,Rp 3.535.000,Rp 2.969.400.000,840.0,Rp 261.590.000,74.0,4.88
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98s-lyu8e8wth8mge2_tn.webp,https://shopee.co.id/sepeda-listrik-exotic-veloce-v7v3v1-500watt-lcd-spedometer-bergaransi-resmi-i.286263859.18180291105,SEPEDA LISTRIK EXOTIC VELOCE V7/V3/V1 500Watt LCD SPEDOMETER BERGARANSI RESMI,1bike,Rp 3.335.000,Rp 13.340.000.000,4.0,Rp 493.580.000,148.0,4.82
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224r-mgcc0b3o1tl86f_tn.webp,https://shopee.co.id/uwinfly-d66b-sepeda-listrik-600w-led-fast-charge-i.41047020.27356711302,Uwinfly D66B Sepeda Listrik 600W LED Fast Charge,S-Fone,Rp 3.799.000,Rp 3.799.000.000,1.0,Rp 22.794.000,6.0,4.89
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztn-me8air6rb9j896_tn.webp,https://shopee.co.id/sepeda-listrik-exotic-veloce-v7-500w-bergaransi-i.467381274.22650834045,Sepeda Listrik Exotic Veloce V7 500W Bergaransi,Mandiri Bike,Rp 3.335.000,Rp 2.587.960.000,776.0,Rp 36.685.000,11.0,4.8
